label,statement,len
true,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",115
false,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,87
false,Says one out of three U.S. homeless men is a veteran.,53
false,Says Charlie Crist supports cuts to the Medicare Advantage program.,67
true,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,187
true,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,97
true,"At some point in their lives, 99% of women use birth control.",61
false,"In the past 20 years, Egypt has made great strides in political and democratic reform.",86
false,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,113
true,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,66
true,"In Rick Perrys Texas, we import nurses ... from other countries.",64
true,There is a federal criminal law that says its a crime to transport dentures across state lines.,95
true,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,131
false,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",72
false,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,88
false,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",63
true,I belong to the AFL-CIO.,24
true,The insurance commissioner cant do squat about health care.,59
true,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,112
false,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",142
false,Says David Jolly supports privatizing Social Security.,54
true,Did you know US population growth is at its lowest since the Great Depression?,78
true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",161
true,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",101
true,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,199
false,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,157
false,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",127
true,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",100
true,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",194
false,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",166
true,Sen. Obama has always had a 100 percent prochoice rating.,57
true,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",147
true,The (federal) debt is growing by more than $4 billion a day.,60
true,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",123
false,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",95
true,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,132
true,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",157
true,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",132
false,Says Obama promised unemployment would never go above 8 percent.,64
true,The economy is creating jobs at the fastest pace since 1999.,60
true,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,87
true,"In a majority of states, you can now marry freely, but can still be fired for who you love.",91
false,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,110
false,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",97
false,"About half of the presidents have been governors; half of them, senators.",73
true,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",111
true,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",87
true,Says 88 Texas constables have died in the line of duty.,55
true,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",74
true,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",122
true,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",127
true,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,102
false,The Air Force wants taxpayers to fund a fantasy football league.,64
false,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,93
true,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,117
true,Some neighborhood schools are closing.,38
true,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,113
true,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",110
false,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",91
true,Says the U.S. Supreme Court found that Social Security is not guaranteed.,73
false,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,99
true,Oregonians have an amazing no-cost way to fight abortion with free political donations,86
false,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",95
false,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",169
true,Newt Gingrichs immigration plan offers a new doorway to amnesty.,64
false,Mr. Caprio is a career politician who has never worked in the private sector.,77
false,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",150
true,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",121
true,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,92
true,Donald Trump has said nuclear proliferation is OK.,50
true,"Hillary Clinton has taken over $800,000 from lobbyists.",55
false,Barack Obama has never even worked in business.,47
true,Says the Arizona immigration law expressly bans racial profiling.,65
false,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,135
false,"On the VA: Over 300,000 veterans have died waiting for care.",60
true,Were now spending 42 percent of our economy on government.,58
false,Rob Cornilles supports privatizing Medicare.,44
false,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",71
true,We (Democrats) have made steady progress creating jobs and improving our schools.,81
false,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,160
true,"Whether you like to admit it or not, half our general revenue goes to education.",80
false,Im the only one whos fought against developers draining the Everglades!,71
true,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,89
true,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",149
false,Climate change is directly related to the growth of terrorism.,62
false,The jobs bill includes President Obamas tax on soup kitchens,60
false,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,106
true,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,192
true,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",169
false,We have more illegal immigrants here than we did five years ago.,64
false,Says Rick Perry wrote a letter supporting Hillarycare.,54
false,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,97
false,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",185
true,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,85
true,Says Chris Christie vetoed a jobs package of 30 bills.,54
true,There are already more American jobs in the solar industry than in coal mining.,79
true,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,179
true,Barack Obama is in an economy thats only worsened since hes been president of the United States.,96
true,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",73
true,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",200
false,Says Thomas Eric Duncan came into the United States with an elevated temperature.,81
true,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,117
true,Gas prices have gone up $2 since Obama took office.,51
true,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,101
true,Says judges get better benefits at a lower cost than everybody else in the state.,81
true,There are a lot of casinos across the country that have gone bankrupt.,70
true,Small businesses create 70 percent of the jobs in America.,58
true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",113
true,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",99
true,If Texas were a country our economy would rank # 10...in the WORLD.,67
false,There are more oil rigs in operation in the United States than the rest of the world combined.,94
true,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",76
true,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",210
true,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,171
false,The Obama administration shut down the Amber Alert program because of the government shutdown.,94
true,The Republicans have 2 percent of the Muslim vote.,50
true,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",149
false,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",233
true,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",159
true,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",84
true,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,122
false,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",165
false,Not one Republican has the guts to recognize that climate change is real.,73
true,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",100
false,David Dewhurst has a record of promoting an income tax.,55
true,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,117
false,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",142
false,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",84
false,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,132
false,Says Obama health reform law denies millions access to affordable insurance.,76
false,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,68
false,Close to 30% of our federal prison population consists of illegal immigrants.,77
false,Says Rick Scott called education not a core function of the state.,66
false,"The Family Research Council, according to some government agencies, is a terrorist group.",89
true,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",93
true,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,131
false,Obamacare is the biggest tax increase in American history.,58
true,You ... said that Barack Obama was not ready to be commander in chief.,70
true,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",105
false,Milwaukee Mayor Tom Barrett has held the line on property taxes.,64
true,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,153
true,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",131
false,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,96
true,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",106
true,On how money from a possible lease of the Ohio Turnpike would be used,69
true,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",223
true,"The president has had 1,540 of his nominations confirmed, only four defeated.",77
true,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,83
false,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",191
true,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,141
true,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",94
true,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",96
false,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,101
true,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,141
true,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",96
true,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",82
true,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",160
true,The Paul Ryan budget proposal would privatize Medicare.,55
true,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,143
true,The United States imprisons more than any nation in the world.,62
false,Says Marco Rubio is the one for an open border.,47
true,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.",102
false,Says cuts to Medicare affect people who have already paid in. We paid for it.,77
false,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,126
true,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,90
false,Providences port is 200 miles closer to Europe than any other Eastern port.,75
true,Says you need a photo ID to purchase Sudafed in Texas.,54
true,Twenty percent of housing in Portlands Pearl District is affordable.,68
true,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",108
true,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,95
true,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,109
true,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",140
false,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,126
false,We now have driven (health care) costs down to the lowest theyve been in 50 years.,82
true,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""",155
true,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",228
true,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",90
true,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.",120
false,Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.,86
false,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,149
true,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,134
true,Warren (Buffett) still does support me.,39
true,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,95
false,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,135
true,"About 230,000 people that were on unemployment when I took office are not on unemployment now.",94
false,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.",128
false,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,70
false,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,106
true,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",104
false,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,93
false,"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",182
false,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",82
true,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.",129
true,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.",119
true,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,160
true,On legalizing illegal immigrants.,33
true,Nearly half of all pregnancies in the U.S. are unintended.,58
true,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.""",89
true,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",117
true,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",211
false,The top 1 percent pay over half of the entire revenue for this country.,71
false,The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.,180
true,Chris Christie has not increased the taxes on anyone.,53
false,The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.,118
false,Says he never said he would keep education funding the same.,60
true,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",99
true,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",74
true,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",105
false,(Palin) supported right-wing extremist Pat Buchanan for president in 2000.,74
false,Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.,92
false,Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.,94
true,"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.",117
true,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,116
false,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.",221
false,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",146
false,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,94
true,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.,145
true,"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.",130
false,The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.,143
false,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.",88
false,"Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.""",112
false,Texas this fiscal year will have more money in reserve than the other 49 states combined.,89
false,On using the Strategic Petroleum Reserve.,41
true,Immigrants are more fertile.,28
true,"The proposed education changes ""will not cut one teacher's pay.""",64
false,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.,114
true,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.,89
false,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.,109
false,We spend less on defense today as % of GDP than at any time since Pearl Harbor.,79
true,If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.,95
true,"Says Scott Walker wants to ban common forms of birth control, including the pill.",81
false,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,93
true,"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.",71
true,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",189
true,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,98
true,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",98
false,Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,132
false,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.,140
true,There are mechanisms in place to shut down the Internet privately.,66
false,The American people support defunding Obamacare and oppose shutting down the government.,88
true,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,136
true,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.",123
false,The people of Rhode Island dont want same-sex marriage.,55
true,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",144
false,This year in Congress (Connie Mack IV) has missed almost half of his votes.,75
false,"1/3 of our kids drop out (of high school), cannot go to college or start a career.",82
false,Not even old Gen. Eisenhower saluted military personnel as president.,69
true,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.",148
false,"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.",97
false,74 percent of Republicans support the Affordable Care Act.,58
true,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.",105
true,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.",94
false,Says Alex Sink failed Florida homeowners by using predatory lending practices.,78
false,Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.,128
false,You cant check out a library book without a photo ID.,53
false,Says that Starbucks took Christmas off of their brand new cups.,63
true,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,112
false,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",140
true,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.",149
true,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",164
true,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,99
true,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.",161
true,"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.",122
true,"Every year, more than $40 million are leaving Missouri for the Lone Star State.",79
true,A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,107
true,The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,105
true,"We are younger than our competitors, and this is entirely because of immigration.",81
true,Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,127
true,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",233
true,"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",134
false,Says he raised average family income by 50 percent during his tenure as Arkansas governor.,90
true,They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,90
